2025-01-20,DeepSeek-R1 launched
2025-01-18,2025 assassination of Iranian Supreme Court judges
2024-12-26,DeepSeek-V3 launched
2024-12-08,Fall of the Assad regime
2024-11-14,Ahoo Daryaei responded in protest by removing her clothes
2024-11-13,Kianush Sanjari died
2024-11-05,2024 United States presidential election (Trump vs Kamala)
2024-10-16,Yahya Sinwar died
2024-09-27,Hassan Nasrallah died
2024-07-31,Ismail Haniyeh died
2024-06-28,2024 Iranian presidential election 1403 (Pezeshkian vs Jalili)
2024-05-19,Ebrahim Raisi died
2024-05-13,GPT-4o launched
2024-01-23,Mohammad Ghobadlou executed
2024-01-03,2024 Kerman bombings
2023-11-29,Henry Kissinger died
2023-10-07,October 7 Hamas-led attack on Israel
2023-05-19,Saleh Mirhashemi and Majid Kazemi and Saeed Yaghoobi executed
2023-01-07,Mohammad Mehdi Karami and Seyyed Mohammad Hosseini executed
2022-12-12,Majidreza Rahnavard executed
2022-12-08,Mohsen Shekari executed
2022-11-16,Kian Pirfalak and Aylar Haghi died
2022-10-30,Toomaj Salehi arrested
2022-10-26,2022 Shah Cheragh attack
2022-10-12,Asra Panahi died
2022-10-02,Khodanur Lojei died
2022-09-28,Baraye song by Shervin Hajipour released
2022-09-23,Sarina Esmailzadeh died
2022-09-21,Hadis Najafi died
2022-09-20,Nika Shakarami and Minoo Majidi died
2022-09-16,Mahsa (Jina) Amini died
2022-04-05,Imam Reza shrine stabbings
2021-09-12,Toomaj Salehi arrested
2021-06-18,2021 Iranian presidential election 1400 (Raisi vs Hemmati)
2020-11-27,Mohsen Fakhrizadeh died
2020-11-03,2020 United States presidential election (Biden vs Trump)
2020-10-08,Mohammad-Reza Shajarian died
2020-09-12,Navid Afkari executed
2020-04-10,Ali Younesi and Amirhossein Moradi arrested
2020-03-11,COVID-19 pandemic begin
2020-01-30,COVID-19 outbreak
2020-01-11,Protests took place in Tehran
2020-01-08,Iran missile attacks on U.S. bases in Iraq and Ukraine Flight 752 shot down
2020-01-03,Qasem Kotlet died
2019-11-16,2019 Internet blackout in Iran
2019-11-16,Mahshahr massacre
2019-11-15,Bloody Aban 98
2019-06-20,US drone shot down by Iran over the Strait of Hormuz
2019-04-27,Behrooz Hajilu incident
2018-09-22,Ahvaz military parade attack
2018-08-01,August 2018 uprising in Iran
2018-05-08,Trump announced U.S. withdrawal from JCPOA
2018-03-28,2018 Khuzestan protests
2018-02-22,Maryam Shariatmadari protest
2018-02-15,Azam Jangravi protest
2018-01-03,Pro-government rally in several Iranian cities
2017-12-31,Anti-government protests in Tehran
2017-12-28,2017–2018 Iranian protests
2017-12-27,Vida Movahed removed her headscarf and stood on a utility box
2017-05-19,2017 Iranian presidential election 1396 (Rouhani vs Raisi)
2017-01-08,Akbar Hashemi Rafsanjani died
2016-11-08,2016 United States presidential election (Trump vs Hillary)
2016-01-16,JCPOA took effect
2016-01-12,2016 U.S.–Iran naval incident
2015-09-30,Russian intervention in the Syrian civil war supporting the Assad regime
2015-07-14,JCPOA signed
2013-06-14,2013 Iranian presidential election 1392 (Rouhani vs Ghalibaf)
2012-11-06,2012 United States presidential election (Obama vs Romney)
2012-05-28,Flame (malware) discovered
2012-02-14,Facebook, Twitter blocked in Iran
2011-05-02,Osama bin Laden died
2011-04-15,2011 Khuzestan protests
2011-03-11,Fukushima nuclear accident
2011-02-14,2011–2012 Iranian protests (Sane Jaleh died)
2011-02-11,Overthrow of President Hosni Mubarak's 30-year rule in Egypt during the Arab Spring
2010-06,Stuxnet discovered
2010-02-23,Abdolmalek Rigi arrested
2009-12-30,30 December 2009 Iranian pro-government rallies (9 Dey 1388)
2009-12-19,Hussein-Ali Montazeri died
2009-06-20,Neda Agha-Soltan fatally shot
2009-06-19,Ali Khamenei backs election result in Friday prayer
2009-06-15,Sohrab Aarabi died
2009-06-12,2009 Iranian presidential election 1388 (Ahmadinejad vs Mousavi)
2009-01-09,Bitcoin initial release
2008-11-04,2008 United States presidential election (Obama vs McCain)
2008-09-15,Lehman Brothers filed for bankruptcy
2008-04-12,Shiraz bombing killed 14
2007-02-14,2007 Zahedan bombings
2006-06-12,Iranian women peacefully protested in Tehran's Hafte Tir Square (22 Khordad 1385)
2006-03-18,Akbar Ganji released from prison
2006-03-16,Attack on Tasooki
2006-03-02,a bomb exploded in Kianpars
2006-02-27,two bomb exploded in Dezful and Abadan
2006-01-25,two bomb exploded in Ahvaz
2005-10-15,two bomb exploded in Ahvaz
2005-06-17,2005 Iranian presidential election 1384 (Ahmadinejad vs Rafsanjani)
2005-06-12,four bombs exploded in Ahvaz
2005-04-15,2005 Ahvaz unrest
2004-11-02,2004 United States presidential election (Bush vs Kerry)
2003-12-26,2003 Bam earthquake
2003-10-10,Shirin Ebadi was awarded the Nobel Peace Prize
2003-06-12,2003 Iranian student protests
2003-03-20,2003 invasion of Iraq
2003-03-08,Ali-Akbar Mousavi Khoeini speech in parliament
2002-08-14,Existence of two secret nuclear facilities at Natanz and Arak revealed
2001-12-02,Enron filed for bankruptcy
2001-10-07,Operation Enduring Freedom begun in Afghanistan
2001-09-11,September 11 attacks
2001-06-08,2001 Iranian presidential election 1380 (Khatami vs Tavakkoli)
2000-11-07,2000 United States presidential election (Bush vs Al Gore)
2000-04-07,Iran After the Elections conference (Berlin Conference)
2000-03-12,Saeed Hajjarian assassination attempt
2000-02-18,2000 Iranian legislative election
1999-07-07,Kuye Daneshgah Disaster (18 Tir 1378)
